KIND:nbs
UNITS:cms
INTERVAL:month
LOCATION:erie
# Sample data for GLRRM
#YYYY,   Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,     Sep,    Oct,    Nov,    Dec
1950,   5598,   3557,   4476,   3868,   1196,    763,    644,   -114,    -140,   -126,    739,   2376
1951,   2896,   4320,   4056,   3193,   1615,   1223,    419,   -560,    -904,   -620,    516,   1577
1952,   4278,   1914,   3098,   2874,   1596,    367,   -236,    -89,    -683,  -1815,   -182,    448
1953,   1320,    759,   2218,   1385,   2050,    719,    -54,   -255,   -1051,  -1148,   -593,   -272
1954,    865,   2420,   3163,   3198,    321,    511,   -182,   -278,    -687,   2637,    -47,    898
1955,   1410,   2045,   3926,   2291,    763,    270,   -111,    -79,   -1001,   -121,   -142,    127
1956,    363,   1983,   2726,   2213,   2886,    868,    543,   1132,    -618,   -799,   -748,    561
1957,   1048,   1283,    932,   3595,   1251,   1546,    807,   -493,      67,   -763,   -198,   1509
1958,    525,    525,    917,   1387,    694,   1178,   1193,    497,     237,   -911,    186,   -173
1959,   2261,   2694,   2179,   2482,   1616,    407,    366,    -92,    -721,    -88,     -4,   1341
1960,   1582,   1539,   1019,   2153,   1632,   1329,    143,   -120,    -680,  -1131,   -567,   -618
1961,     63,   1543,   1817,   3760,   1004,    966,    629,    308,    -426,  -1043,   -461,    -89
1962,   1068,   1230,   1824,    889,    620,    757,      5,     49,    -438,   -457,   -104,     13
1963,    296,    299,   2614,   1365,    790,    409,     84,   -319,    -867,   -857,   -572,   -494
1964,    537,    230,   2291,   2617,    812,    340,   -110,    336,   -1153,  -1208,   -770,    327
1965,   1337,   1692,   2043,   1778,    871,    391,    -78,    -28,    -294,   -607,   -150,    757
1966,    391,   1183,   1409,   1485,    932,    785,    157,    -94,    -817,  -1218,    865,   1901
1967,    406,    849,   1818,   1967,   1583,   1029,    284,   -258,    -562,   -423,    197,   1638
1968,   1395,   1326,   1520,   1221,   1693,   1218,    400,     73,    -329,   -906,    204,    943
1969,   2033,    935,    823,   2975,   2515,   1224,   1655,   -585,    -771,  -1089,    244,    136
1970,    502,   1117,   1489,   2127,   1406,    842,    875,   -487,     191,   -152,     20,    307
