KIND:nbs
UNITS:mm
INTERVAL:month
LOCATION:mich-huron
# Sample data for GLRRM
#YYYY,    Jan,     Feb,     Mar,      Apr,      May,      Jun,     Jul,     Aug,    Sep,      Oct,     Nov,     Dec
1950,   76.66,   61.25,  126.94,   214.50,   136.32,   137.24,  127.57,   68.84,   52.63,   26.44,   -1.65,    9.73
1951,   63.08,   83.09,  138.13,   285.71,   138.94,   116.05,  153.38,   87.08,   47.83,  127.02,   50.23,   60.12
1952,   99.41,   54.77,  119.77,   217.40,   147.31,   111.36,  170.40,   89.68,    9.66,  -89.15,   35.41,   21.70
1953,   28.68,   69.65,  134.17,   165.18,   166.92,   125.91,   94.93,   56.76,    7.02,   -8.00,  -17.78,  -22.38
1954,  -28.01,   77.28,   94.43,   211.15,   131.39,   201.44,   83.63,   34.79,   93.67,  187.83,   26.19,   -4.40
1955,   12.22,   41.72,   88.47,   186.38,   119.84,    85.37,   65.09,   32.20,  -37.65,   53.38,  -31.56,  -47.47
1956,  -13.12,   26.69,   77.55,   161.66,   205.57,   118.08,  131.42,  106.28,   11.66,   -0.26,  -26.05,   -9.89
1957,    7.27,   42.62,   73.33,   154.44,   158.10,   149.26,  139.68,   29.47,   45.72,   34.93,   45.37,   39.24
1958,   16.98,    6.37,   59.37,    92.58,    63.73,    90.20,   94.73,   40.10,   57.32,   12.42,   -1.96,  -56.65
1959,   10.70,   59.58,  109.83,   230.80,   170.65,    77.36,  106.06,  145.94,   59.41,   86.96,   25.45,   55.57
1960,   68.80,   57.42,   57.31,   267.33,   315.50,   169.96,  130.64,   86.58,   52.70,   17.55,   22.22,  -58.70
1961,  -11.71,   45.69,  113.74,   127.96,   105.29,   124.52,  109.32,   71.15,  128.81,   36.59,   34.15,   -1.32
1962,   33.52,   64.51,  100.09,   134.13,   155.95,   102.80,   78.82,   70.31,   31.31,   37.69,  -20.54,  -14.31
1963,    6.32,   24.93,  112.22,   128.07,   144.15,    87.74,  100.62,   58.74,   31.40,    7.22,    6.91,  -39.07
1964,   20.30,   -4.01,   51.09,   134.50,   139.87,    65.13,   94.91,   68.59,   56.18,  -15.74,   24.00,   -7.53
1965,   44.66,   76.32,   88.56,   198.41,   165.18,    87.68,   71.76,  101.56,  162.56,   57.00,   64.05,   92.36
1966,   32.28,   77.01,  143.68,   138.43,   106.23,    94.28,   52.07,   58.83,  -10.66,    0.35,   84.23,   71.67
1967,   71.37,   49.12,   92.82,   259.25,   135.47,   210.08,   87.52,   72.18,   16.69,   74.88,   66.39,   66.18
1968,   44.85,   77.33,   80.91,   155.62,   132.44,   162.52,  100.83,   89.24,   97.23,   23.30,   21.89,   31.66
1969,   78.58,   40.67,   70.16,   203.12,   175.89,   211.51,  132.21,   26.65,    6.23,   81.01,   43.33,  -13.80
1970,   24.28,   15.10,   74.54,   159.39,   166.26,   148.84,  163.41,   37.87,  130.04,   73.93,   33.19,   31.95
1971,   40.66,   94.11,  126.63,   174.91,   149.49,   120.15,  100.45,   70.98,   44.24,   30.88,   -3.57,   77.36
1972,   10.85,   46.27,  106.25,   172.50,   171.87,   120.94,  129.26,  149.40,   97.33,   33.69,   44.80,   82.13
1973,   93.38,   57.04,  197.86,   182.74,   240.24,   163.58,  116.44,  109.17,   33.57,   70.84,   24.48,   25.34
1974,   90.49,   61.83,  128.62,   211.10,   195.22,   173.22,  108.76,   82.75,   37.01,   31.40,   49.22,   16.80
1975,   71.75,   69.09,   98.42,   172.27,   175.71,   160.34,  105.17,  134.62,   59.12,    3.15,   60.78,   27.52
1976,   22.10,  106.62,  245.51,   196.45,   189.31,   112.43,   86.82,   26.90,    6.24,  -12.71,  -35.93,  -33.45
1977,   30.16,  104.16,  186.82,   160.47,    81.75,    90.80,  114.79,  131.25,  127.02,   63.34,   87.60,   51.05
1978,   41.93,   32.18,   71.45,   176.29,   176.51,   118.68,  115.34,  114.14,  170.31,   59.34,   19.42,   15.16
1979,   67.38,   44.79,  206.06,   250.44,   195.32,   149.53,   90.98,  127.43,   22.43,   66.67,   73.66,   50.07
1980,   41.97,   28.96,   73.81,   202.15,   119.35,   148.66,  113.95,  118.75,   88.30,   18.87,    2.92,   13.35
1981,   14.64,  114.42,   83.40,   200.20,   128.74,   137.71,   77.45,  106.81,   77.96,   79.47,   24.33,   -5.49
1982,   25.99,   31.88,  139.73,   184.09,   134.95,   114.76,  115.09,   82.05,   85.67,   62.30,   96.08,  123.40
1983,   51.75,   64.58,  115.03,   167.80,   261.19,   125.57,   76.12,   74.94,   62.28,   66.28,   20.12,    1.90
1984,   23.02,  103.93,  100.02,   161.21,   154.23,   149.95,  103.91,   99.75,   81.69,   86.87,   71.54,   54.12
1985,   54.09,  106.85,  195.25,   231.90,   157.29,    88.77,   95.93,  112.22,   93.83,   85.55,  122.67,   17.12
