KIND:nbs
UNITS:mm
INTERVAL:month
LOCATION:stc
# Sample data for GLRRM
#YYYY,    Jan,      Feb,      Mar,      Apr,      May,      Jun,     Jul,      Aug,      Sep,     Oct,     Nov,      Dec
1950,  1111.43,   597.11,   1376.95,   1256.39,   119.80,   -17.22,   -1.69,   -45.59,   28.07,   120.81,   374.58,   911.87
1951,   708.97,  1048.80,   1164.60,   1062.27,   114.52,   42.18,   -35.10,   -81.43,   -67.95,   86.05,   273.94,   280.97
1952,  1250.76,   634.53,   1074.68,    866.57,   222.11,   -41.67,   -96.81,   -63.73,   -59.10,   -21.89,   88.07,   156.34
1953,   208.82,   121.29,    693.85,    340.67,   342.61,   192.38,   30.20,   225.30,   -65.22,   -30.87,   21.22,   75.96
1954,   106.84,  1203.10,   1200.17,    713.03,   110.73,   14.10,   -101.97,   -94.66,   -19.37,   560.95,   270.03,   478.23
1955,   614.15,   652.55,   1233.81,    486.07,   25.02,   -46.61,   -111.74,   -89.43,   -54.09,   74.92,   266.51,   244.58
1956,    96.18,   262.27,   1487.07,    819.47,   1601.96,   112.18,   39.33,   249.80,   124.29,   44.64,   90.38,   398.71
1957,   391.96,   492.08,    618.61,    793.46,   370.27,   53.53,   202.54,   -66.13,   89.81,   151.42,   420.63,   977.48
1958,   174.62,   118.79,    524.54,    203.06,   -7.90,   30.52,   -21.96,   -77.45,   29.52,   5.00,   116.41,   45.00
1959,   177.30,   317.66,   1391.70,    949.09,   337.97,   4.42,   -65.16,   39.65,   5.10,   260.84,   484.85,   783.65
1960,   553.42,   449.70,    490.48,   1706.56,   553.99,   424.00,   -62.95,   -49.05,   -69.62,   17.56,   53.00,   10.09
1961,    -0.81,   337.92,    420.59,    633.06,   274.59,   53.10,   -24.95,   88.59,   35.37,   10.77,   186.43,   195.39
1962,   120.17,   146.11,   1229.78,    329.20,   54.29,   116.16,   -94.63,   -18.25,   -34.50,   44.38,   285.01,   197.31
1963,    32.43,     5.49,   1036.77,    360.77,   236.96,   12.10,   -118.19,   -85.98,   -52.34,   -33.95,   25.73,   20.37
1964,   142.53,   122.62,    437.79,    468.80,   137.01,   -5.22,   -106.76,   117.08,   -10.80,   -15.64,   12.23,   240.33
1965,   365.54,   852.14,    989.97,   1056.82,   88.54,   -43.59,   -56.40,   -21.16,   -7.88,   89.73,   161.61,   687.21
1966,   192.93,   419.32,    749.35,    459.89,   207.34,   155.63,   -72.76,   4.38,   -58.39,   16.93,   279.37,   969.99
1967,   418.40,   217.57,    970.23,   1143.50,   211.35,   438.74,   147.15,   40.27,   10.02,   419.78,   673.57,   1016.07
1968,   361.12,  1258.57,    955.46,    340.59,   265.43,   383.40,   119.71,   43.64,   27.75,   82.11,   257.43,   516.01
1969,   590.83,   598.41,    531.35,    905.80,   642.52,   204.32,   136.38,   -46.85,   -71.12,   24.85,   212.62,   232.71
1970,    65.16,   160.68,    558.61,    841.67,   224.43,   56.11,   38.74,   -86.52,   -8.55,   64.74,   247.64,   442.75
1971,   128.70,   600.57,   1139.78,    546.68,   56.57,   -3.20,   -113.34,   -18.05,   -12.42,   -9.63,   20.61,   286.72
1972,   228.08,   101.47,    956.80,    947.94,   191.73,   18.64,   12.13,   48.06,   0.83,   125.27,   506.28,   684.69
1973,   905.70,   298.36,   1799.51,    476.79,   321.97,   244.45,   20.08,   14.19,   -47.83,   42.57,   343.83,   572.20
1974,  1075.97,   606.09,   1246.57,    790.51,   817.91,   53.44,   -28.76,   -10.42,   -4.31,   27.62,   164.00,   247.59
1975,   684.15,   653.37,   1022.52,   1059.61,   197.89,   225.18,   -57.32,   215.14,   305.18,   67.19,   178.11,   530.28
1976,   249.41,  1463.32,   1799.84,    579.06,   597.21,   82.65,   348.92,   100.25,   68.98,   117.34,   171.59,   94.18
1977,    12.27,   139.33,   1728.73,    705.78,   78.08,   -4.90,   -22.85,   -10.96,   294.74,   341.85,   383.55,   1101.98
1978,   203.65,   101.55,   1128.47,   1396.09,   304.64,   39.68,   -79.00,   -53.03,   47.72,   88.14,   120.92,   220.22
1979,   251.70,    52.82,   1166.93,   1459.10,   312.41,   48.17,   53.22,   -27.56,   -23.14,   46.57,   423.42,   765.61
1980,   331.72,    88.15,    960.97,    896.96,   245.16,   158.92,   160.07,   146.91,   93.61,   110.29,   95.96,   275.57
1981,    44.83,  1277.40,    408.19,    580.87,   361.60,   80.38,   13.38,   61.96,   524.79,   998.91,   379.96,   323.62
1982,   339.35,   103.32,   1808.78,   1186.62,   124.20,   211.61,   43.81,   -12.38,   106.03,   76.42,   699.17,   1089.65
1983,   292.78,   452.55,    369.61,    718.62,   827.47,   255.59,   153.65,   203.99,   33.79,   144.26,   484.87,   822.67
