KIND:nbs
UNITS:mm
INTERVAL:mn
LOCATION:sup
# Sample data for GLRRM
#YYYY,    Jan,     Feb,     Mar,      Apr,      May,      Jun,      Jul,      Aug,     Sep,     Oct,     Nov,    Dec
1950,   -8.26,   12.91,   36.02,   116.13,   334.98,   188.83,   157.85,   128.42,   66.95,   59.85,   34.60,  -12.05
1951,    1.32,   68.66,   94.27,   176.96,   174.44,   189.32,   105.25,   147.27,  134.48,   86.80,   18.82,    4.35
1952,   19.84,   22.17,   60.94,   141.18,   114.67,   171.50,   200.90,   130.38,   29.39,  -47.63,    5.88,  -21.48
1953,  -10.51,   14.90,   62.51,   110.89,   217.97,   201.11,   174.62,   136.12,   43.32,    9.85,    7.99,  -19.50
1954,  -23.13,   27.81,   12.49,   181.64,   233.45,   169.73,    81.89,    76.98,   79.94,   37.94,   -6.38,  -49.68
1955,  -23.54,   -2.30,   68.01,   139.39,   134.00,    98.46,   126.30,   108.35,   59.12,   85.67,    7.60,  -30.55
1956,   -3.50,    1.27,   14.38,   101.89,   168.94,   119.62,   133.55,   107.15,   54.71,   12.81,    9.93,   11.23
1957,   -2.55,   39.01,   50.63,   134.50,   115.49,   144.13,   112.96,    69.93,   85.84,    5.86,   37.61,  -18.38
1958,    3.95,   -7.10,   30.06,    72.67,    80.40,   126.25,   144.32,   111.94,   77.07,   26.69,   42.43,  -27.65
1959,  -26.59,   16.83,   44.86,    75.53,   190.27,   115.58,    98.04,   188.56,  128.42,   83.20,  -16.21,   -7.60
1960,    9.52,    9.98,   20.84,   201.01,   233.88,   121.93,   113.16,    90.09,   51.14,   26.00,   24.65,  -43.60
1961,  -20.16,   31.82,   59.44,    99.73,   159.08,   111.24,    92.87,    55.71,  102.62,   47.16,   28.65,  -18.16
1962,  -23.89,   42.11,   32.19,    84.03,   179.95,    94.56,    85.68,   120.13,   68.96,    6.01,  -11.71,  -36.19
1963,  -16.56,   24.12,   61.57,   115.18,   109.91,   170.35,    84.18,   101.57,   41.13,   21.26,   -0.11,  -48.91
1964,    1.20,   -2.37,   20.34,   150.91,   231.33,   154.93,   107.91,   112.33,   92.83,   40.05,   21.14,   -0.15
1965,  -15.91,   54.83,   56.10,   122.45,   211.25,   123.63,   120.58,    99.53,  124.29,   59.74,   49.28,   17.08
1966,   -4.15,   38.76,   96.03,   117.18,   146.81,   127.11,   104.52,   149.13,   21.66,   54.94,  -13.72,  -15.77
