KIND:nbs
UNITS:mm
INTERVAL:mn
LOCATION:sup
# Sample data for GLRRM
#YYYY,   Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec
1948,   67.7,   37.0,   47.2,   90.6,   21.3,   52.1,   75.2,   65.3,   24.8,   40.1,  108.8,   69.8
1949,   73.7,   48.6,   56.6,   15.1,   74.7,   98.5,  118.7,   48.8,   82.3,   94.9,   77.7,   45.9
1950,   95.0,   39.1,   48.2,   72.9,   85.3,   95.5,   82.0,   81.8,   56.1,   61.6,  103.9,   56.5
1951,   36.2,   66.5,   81.7,   57.9,   48.0,  113.3,   50.1,  114.1,  125.1,   78.3,   60.1,   51.7
1952,   55.4,   21.1,   46.9,   43.0,   53.3,  112.9,  118.2,   83.3,   33.3,   26.6,   55.8,   33.2
1953,   49.5,   52.3,   52.6,   56.9,  113.5,   98.0,   98.6,   85.2,   77.9,   28.1,   55.8,   66.1
1954,   65.0,   37.2,   47.4,   94.0,   99.3,   80.0,   30.8,   54.7,   90.9,   64.1,   35.9,   21.7
1955,   44.4,   38.5,   91.0,   45.9,   78.4,   53.5,   86.3,   89.3,   94.0,  103.9,   84.0,   56.9
1956,   35.7,   20.5,   21.2,   43.3,   85.8,   68.2,   82.7,   75.9,   66.2,   24.1,   66.8,   66.4
1957,   43.1,   36.0,   35.7,   52.7,   53.9,   90.3,   51.5,   42.4,   99.2,   32.7,   89.6,   39.8
1958,   36.7,   23.2,   14.7,   33.7,   48.9,   85.7,   90.3,  107.9,   76.1,   47.4,   99.0,   60.3
1959,   34.5,   21.6,   32.3,   29.8,  109.2,   62.9,   55.1,  156.2,  130.0,  101.2,   50.7,   35.3
1960,   48.4,   30.4,   28.2,  110.2,   98.6,   64.5,   76.5,   66.7,   71.7,   62.5,   73.7,   37.2
1961,   27.4,   35.4,   50.8,   42.2,   75.4,   57.8,   51.6,   40.7,  126.3,   64.8,   65.5,   50.9
1962,   52.1,   52.4,   13.6,   43.1,   90.5,   44.0,   50.8,   95.4,   89.3,   29.5,   26.7,   53.8
1963,   42.4,   33.7,   47.2,   64.8,   52.0,   95.7,   42.2,   75.9,   48.2,   23.9,   56.2,   59.1
1964,   49.3,   31.0,   45.1,   86.3,  110.8,   79.2,   51.3,  101.2,  102.4,   52.9,   57.7,   68.8
1965,   50.9,   68.3,   42.6,   42.0,  103.7,   62.1,   79.2,   81.4,  135.6,   58.0,  100.3,   54.6
1966,   64.0,   34.7,   68.7,   37.1,   42.9,   45.8,   52.5,  115.3,   49.4,   91.6,   54.0,   56.5
1967,   68.6,   48.7,   35.8,   60.5,   31.0,  102.4,   55.2,   96.8,   29.6,   97.1,   55.7,   48.5
1968,   34.6,   39.4,   53.2,   86.1,   71.2,  125.2,  121.6,   87.6,  113.9,   90.5,   28.7,   87.3
1969,   91.4,   22.8,   16.4,   53.4,   52.8,   67.7,   49.1,   68.0,   57.0,   85.4,   36.4,   51.3
1970,   59.6,   27.9,   27.0,   55.2,  128.3,   52.7,  101.9,   31.5,  108.3,  108.2,   74.2,   56.4
1971,   69.6,   63.7,   50.2,   30.8,   97.2,   83.8,   74.3,   54.2,   76.6,  106.1,   77.6,   63.3
1972,   82.0,   47.1,   65.9,   38.0,   52.0,   65.2,  109.7,  115.1,   90.0,   37.6,   53.5,   72.3
1973,   44.8,   31.5,   51.9,   46.2,  107.4,   89.8,   91.1,  100.5,   79.5,   46.3,   58.6,   58.7
1974,   58.8,   35.9,   29.4,   67.5,   70.3,   93.8,   76.2,   95.1,   72.8,   58.9,   77.3,   36.6
1975,  100.4,   48.1,   53.8,   39.9,   54.2,  107.2,   49.4,   49.1,   80.9,   47.4,  108.2,   59.1
1976,   83.0,   55.8,  106.3,   40.0,   28.2,   86.5,   50.8,   26.3,   34.7,   37.0,   38.3,   63.4
1977,   58.2,   42.7,  105.6,   52.5,   46.9,   84.8,   96.1,  132.9,  150.4,   59.8,   72.5,   76.4
1978,   53.5,   24.7,   27.6,   37.9,   84.5,   67.9,  112.2,  103.1,   77.5,   39.4,   86.4,   71.8
1979,   64.5,   51.5,  107.4,   36.0,   95.2,  102.1,   73.4,   72.9,   69.9,  116.7,   51.9,   38.9
1980,  106.2,   30.9,   22.3,   33.1,   32.2,   69.4,   65.9,   82.4,  121.9,   58.5,   31.1,   46.9
1981,   31.5,   56.7,   30.6,   54.7,   38.4,  117.3,   30.0,   50.8,   45.1,   87.8,   28.3,   70.8
1982,  116.9,   28.3,   43.6,   56.3,   67.4,   40.6,  114.4,   79.2,   85.1,  108.4,   63.9,   65.1
1983,   40.9,   19.3,   48.8,   40.5,   86.5,   47.8,   52.2,   93.2,  107.1,   94.2,   81.3,   82.8
1984,   46.2,   26.1,   36.3,   35.9,   45.7,   97.4,   48.9,   69.2,   82.2,   61.1,   36.5,   64.7
1985,   40.0,   39.5,   38.2,   45.3,   85.3,   55.6,   74.5,   70.1,  120.7,   66.9,  103.2,   50.8
1986,   33.9,   21.3,   36.5,   33.5,   27.5,   75.9,   78.8,   70.6,   67.6,   64.3,   48.2,   25.8
1987,   25.7,   10.7,   17.1,   15.5,   69.9,   37.2,   94.8,   86.3,   65.4,   65.4,   44.1,   38.3
1988,   53.6,   30.3,   45.3,   15.6,   43.2,   38.7,   42.2,  157.4,   62.4,   72.9,   92.6,   56.5
1989,   51.4,   36.3,   28.2,   25.0,   50.9,   92.3,   22.8,   67.6,   46.4,   54.0,   65.6,   62.1
1990,   41.5,   26.2,   36.2,   51.3,   56.6,  109.3,   60.3,   42.0,   92.1,  102.1,   44.2,   44.9
1991,   55.4,   21.1,   58.7,   61.3,   80.8,   73.3,   97.9,   38.5,  112.2,  100.5,  111.5,   45.8
1992,   45.2,   35.8,   21.7,   51.6,   59.5,   51.0,   96.7,   73.8,  110.2,   53.9,   54.9,   63.5
1993,   40.8,   11.9,   16.0,   66.6,   94.5,   74.0,   97.1,   62.5,   59.1,   52.5,   41.7,   32.2
1994,   45.3,   10.1,   29.1,   56.4,   57.2,   58.0,   54.6,   79.3,   66.1,   40.6,   46.5,   11.1
1995,   29.5,   36.5,   29.3,   36.5,   64.0,   22.3,  107.3,   80.3,  105.7,  118.2,   56.3,   86.8
1996,   80.4,   43.2,   26.7,   67.0,   43.7,  103.9,  114.5,   79.5,   73.7,   83.5,   63.3,   65.0
1997,   83.8,   14.8,   68.7,   24.8,   63.4,   57.8,   54.8,   48.0,   50.3,   63.1,   49.5,   34.6
1998,   42.1,   22.6,   71.5,   28.3,   44.5,   92.1,   41.3,   47.9,   55.9,   63.5,   75.4,   57.2
1999,   80.5,   48.3,   19.6,   35.2,  113.2,   79.6,  126.7,   82.0,   97.7,   98.2,   36.6,   35.6
2000,   40.3,   18.9,   48.6,   31.9,   53.2,  115.7,   48.0,   50.4,   59.6,   37.0,   54.6,   40.7
2001,   39.5,   47.9,   19.7,  134.2,   95.6,   75.0,   60.2,   62.7,   47.5,   85.6,   68.2,   44.5
2002,   19.3,   34.8,   52.3,   59.8,   78.2,   66.7,   66.6,   75.6,  114.9,   94.3,   32.3,   23.8
2003,   25.9,   24.2,   38.9,   47.9,   83.8,   41.1,   94.6,   54.8,   96.3,   53.3,   62.1,   41.1
2004,   53.0,   29.0,   52.9,   48.5,   92.0,   54.9,   65.0,   90.3,   49.8,  102.4,   32.7,   62.1
2005,   48.4,   28.9,   19.6,   20.1,   60.8,   88.0,   33.2,   41.5,   92.1,  131.3,  123.0,   61.9
2006,   50.1,   36.7,   55.5,   29.7,   91.1,   34.8,   67.4,   31.1,   67.6,   59.4,   39.3,   66.2
2007,   38.3,   29.1,   65.8,   51.6,   46.1,   69.4,   48.6,   34.9,  145.5,  147.9,   47.0,   65.0
2008,   48.4,   25.7,   24.9,   75.7,   67.2,  102.3,   70.0,   33.9,   71.7,   44.7,   67.4,   82.5
2009,   46.7,   36.6,   39.7,   65.1,   53.7,   61.7,   70.6,  109.4,   35.8,   99.0,   36.3,   71.9
2010,   37.3,   15.9,    8.8,   19.3,   39.4,   96.7,   62.6,   76.5,  121.2,   50.5,   73.8,   41.5
2011,   45.0,   19.8,   28.3,   73.9,   70.5,   86.4,   66.4,   43.9,   81.0,   62.5,   61.2,   60.0
2012,   47.9,   28.7,   51.3,   49.6,   88.7,  101.8,   75.2,   45.3,   63.6,  113.0,   58.3,   35.9
2013,   56.8,   72.5,   48.9,  100.8,   93.5,   77.2,  146.8,   70.3,   74.8,   74.6,   83.7,   76.6
2014,   71.8,   42.0,   34.7,   87.4,   74.3,   98.2,   77.9,   86.9,  101.9,   91.9,   83.4,   58.5
2015,   45.4,   37.0,   32.3,   46.6,   91.7,   78.9,   58.2,   70.8,   69.8,   68.6,   88.1,  105.0
